Index;Menge;Gerätebezeichnung;Lagerort;Lagerort_konkret;Behälter;Kategorie;Marke;Preis;wo_gekauft;zusätzliche_Tags;Anmerkungen
1;1;Magix Video Deluxe 2016 (DVD + Lizenzschlüssel);Medienraum;Stahlschrank;;Software;Magix;;;;unklar ob auf PC / welchem PC
2;1;Kopflampe Coast HL4 LED Headtorch;Medienraum;Stahlschrank;;Zubehör;Coast;27,9;GHW;;
3;1;Y-Kabel mini USB - USB;Medienraum;Stahlschrank;;Kabel;;;;;
4;1;Cinch 3x auf Klinke Kabel;Medienraum;Stahlschrank;;Kabel;;;;;
5;1;Scart auf Cinch Adapter;Medienraum;Stahlschrank;;Kabel;;;;;
6;1;LadeKabel Samsung;Medienraum;Stahlschrank;;Kabel;Samsung;;;;
6;1;Samsung Camcorder (Kassetten);Medienraum;Stahlschrank;;Kamera;Samsung;;;;
7;1;Canon Digital Video Camcorder XM2 (Kassetten);Medienraum;Stahlschrank;;Kamera;Canon;;;;
7;1;Ladestation Canon (Kabel + Box);Medienraum;Stahlschrank;;Kabel;Canon;;;;
7;1;Akku Canon 1500 mAh;Medienraum;Stahlschrank;;Akku;Canon;;;;
8;1;Sony Handycam DCR-SR90;Medienraum;Stahlschrank;blaue Tasche;Kamera;Sony;;;;
8;1;wireless microphone reciever Sony ECM HW2;Medienraum;Stahlschrank;blaue Tasche;Mikro;Sony;;;;
8;1;Ladeteil;Medienraum;Stahlschrank;blaue Tasche;Kabel;Sony;;;;
8;1;Netzteil;Medienraum;Stahlschrank;blaue Tasche;Kabel;Sony;;;;
8;1;Akku Sony;Medienraum;Stahlschrank;blaue Tasche;Akku;Sony;;;;
8;1;Akku Ansmann;Medienraum;Stahlschrank;blaue Tasche;Akku;Ansmann;;;;
8;1;Licht aufschraubbar;Medienraum;Stahlschrank;blaue Tasche;Licht;;;;;
8;1;wireless Ansteckmikro;Medienraum;Stahlschrank;blaue Tasche;Mikro;;;;;
9;1;Sony Fernbedienung;Medienraum;Stahlschrank;;Zubehör;Sony;;;;
10;1;Canon Fernbedienung;Medienraum;Stahlschrank;;Zubehör;Canon;;;;
11;1;Sony DCR-TRV900E (DV-Cam);Medienraum;Stahlschrank;;Kamera;Sony;;;;
35;1;Akku Sony;Medienraum;Stahlschrank;;Akku;Sony;;;;
35;2;Akku NoName;Medienraum;Stahlschrank;;Akku;;;;;
12;1;LED Laterne 300 Lumen TL 740;Medienraum;Stahlschrank;;Zubehör;Mellert;;;;
13;1;USB Stick 8GB;Medienraum;seperater grüner Container;;Speichermedium;Intenso;;;;
14;1;Hama Fotostativ (braun/grau);Medienraum;Stahschrank;;Stativ;Hama;;;;
15;1;Kabeldirekt HDMI auf microHdmi;Medienraum;Stahlschrank;;Kabel;Kabeldirekt;;;;
16;1;Lilliput Monitor;Yannick;;Lilliput Karton;Monitor;Lilliput;;;;
16;1;Netzteil;Yannick;;Lilliput Karton;Kabel;;;;;
17;1;Y-Kabel xlr 2x male -> 1x female;Medienraum;Stahlschrank;Tontasche;Kabel;;;;;
18;1;Rode NTG 2;Medienraum;Stahlschrank;Tontasche;Mikro;Rode;;;Ton;
18;1;Deadcat;Medienraum;Stahlschrank;Tontasche;Mikrozubehör;;;;Ton;
19;1;xlr Kabel;Medienraum;Stahlschrank;Tontasche;Kabel;;;;Ton;
20;1;AKG Kopfhörer;Medienraum;Stahlschrank;Tontasche;Ton;AKG;;;;
23;1;Zoom LadeKabel (USB Powerbank);Medienraum;Stahlschrank;Tontasche;Ton;Zoom;;;;zweiteilig
21;1;Zoom H4N;??;;;Ton;Zoom;;;;defekt
22;1;Zoom H4N;Medienraum;Stahlschrank;Tontasche;Ton;Zoom;;;;
24;1;Zoom Netzteil;Medienraum;Stahlschrank;Tontasche;Kabel;Zoom;;;Ton;
25;1;Rode Mikrohalterung für Tonangel;Medienraum;Stahlschrank;Tontasche;Ton;Rode;;;Zubehör;
26;1;USB auf Micro USB Kabel;Medienraum;Stahlschrank;Tontasche;Ton;;;;Kabel;
27;1;Powerbank für Zoom;??;;;Zubehör;;;;Ton;
28;1;Ladestation Canon;Medienraum;Stahlschrank;Hama-Tasche;Kabel;Canon;;;;
28;1;LadeKabel Canon;Medienraum;Stahlschrank;Hama-Tasche;Kabel;Canon;;;;
28;1;Canon EOS 100D;Medienraum;Stahlschrank;Hama-Tasche;Kamera;Canon;;;;
28;1;Canon Akku;Medienraum;Stahlschrank;Hama-Tasche;Akku;Canon;;;;
28;1;Canon Objektiv 18-55;Medienraum;Stahlschrank;Hama-Tasche;Objektiv;Canon;;;Kamera;
28;1;Walimex Objektiv 35mm f1,4;Medienraum;Stahlschrank;Hama-Tasche;Objektiv;Walimex;;;Kamera;
29;1;Sony Mikro ECMVG1 + Deadcat;Medienraum;Stahlschrank;;Mikro;Sony;;;Ton;
30;1;Vivanco EVM 298;Medienraum;Stahschrank;;Mikro;Vivanco;;;Ton;???
31;1;Powerbank RavPower;??;;;Akku;RavPower;;;;Verpackung in Stahlschrank
32;1;Rig Zoom ring;Medienraum;Stahlschrank;Rig-Karton;Zubehör;Walimex;;;Rig;
32;2;Rig Stangen (ca 20cm);Medienraum;Stahlschrank;Rig-Karton;Zubehör;Walimex;;;Rig;
32;1;Rig Imbus;Medienraum;Stahlschrank;Rig-Karton;Zubehör;Walimex;;;Rig,Werkzeug;
33;1;Fernbedienung ??;Medienraum;Stahlschrank;;Zubehör;;;;;??
27;2;MikroUSB Kabel;Medienraum;Stahlschrank;Powerbank-Karton;Kabel;;;;;
27;1;Mini USB Kabel;Medienraum;Stahlschrank;Powerbank-Karton;Kabel;;;;;
16;1;Lilliput Sonnenschutz;Yannick;;Lilliput Karton;Zubehör;Lilliput;;;Rig,Kamera;
32;1;Rig Sonnenschutz;Medienraum;Stahlschrank;;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Zoom Ring;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;2;Rig Handgriffe;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Schulterstütze;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;2;Rig Stangen (ca 35cm);Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Verbindungsteil Stangen viereckig;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Kamerakäfig;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Handgriff oben;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Follow-Focus;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Verbindungstange Handgriffe;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
32;1;Rig Verbindungsstück Handgriffe;Medienraum;Stahlschrank;Rig verbaut;Zubehör;Walimex;;;Rig,Kamera;
33;3;Micro HDMI auf HDMI Kabel;Medienraum;;;Kabel;;;;;
34;1;USB auf Cinch Adapter;Medienraum;;;Kabel;Dazzle;;;;
35;1;Sony HXR MC 2000;Medienraum;Stahlschrank;;Kamera;Sony;;;;
35;1;Sony Mikro ;Medienraum;Stahlschrank;;Ton;Sony;;;Kamera,Mikro;an Sony Kamera
36;1;Stativroller;Medienraum;Stahlschrank;;Zubehör;;;;;
37;1;T-Bone SC 440;Medienraum;Stahlschrank;T-Bone Koffer;Mikro;T-Bone;;;Ton;
37;1;USB Kabel;Medienraum;Stahlschrank;T-Bone Koffer;Kabel;T-Bone;;;Ton;
37;1;Mikrohalterung;Medienraum;Stahlschrank;T-Bone Koffer;Zubehör;T-Bone;;;Ton,Mikro;
38;1;Mikroangel Rode;Medienraum;Stahlschrank;;Zubehör;;;;Ton,Mikro;
39;4;Motorola Funkgerät ;Medienraum;Stahlschrank;Motorola Koffer;Zubehör;Motorola;;;;
39;2;Motorola Ladestation;Medienraum;Stahlschrank;Motorola Koffer;Zubehör;Motorola;;;;
39;2;Motorola LadeKabel;Medienraum;Stahlschrank;Motorola Koffer;Zubehör;Motorola;;;;
39;4;Motorola Headsets;Medienraum;Stahlschrank;Motorola Koffer;Zubehör;Motorola;;;;
39;4;Motorola Halsband;Medienraum;Stahlschrank;Motorola Koffer;Zubehör;Motorola;;;;
40;1;Panasonic AG-AC90AEJ;Medienraum;Stahlschrank;Panasonic Koffer;Kamera;Panasonic;;;;
40;1;Panasonic Akku;Medienraum;Stahlschrank;Panasonic Koffer;Akku;Panasonic;;;;
40;1;Panasonic Ladestation;Medienraum;Stahlschrank;Panasonic Koffer;Kabel;Panasonic;;;;
40;1;LadeKabel;Medienraum;Stahlschrank;Panasonic Koffer;Kabel;Panasonic;;;;
40;2;Netzteil;Medienraum;Stahlschrank;Panasonic Koffer;Kabel;Panasonic;;;;
40;1;Panasonic Fernbedienung;Medienraum;Stahlschrank;Panasonic Koffer;Zubehör;Panasonic;;;;
40;1;Panasonic Mikrohalterung;Medienraum;Stahlschrank;Panasonic Koffer;Zubehör,Ton,Mikro;Panasonic;;;;
40;1;USB auf Mini-USB Kabel;Medienraum;Stahlschrank;Panasonic Koffer;Kabel;Panasonic;;;;
40;1;Multi Cinch Kabel;Medienraum;Stahlschrank;Panasonic Koffer;Kabel;Panasonic;;;;
41;2;Magix Tastatur;Medienraum;Schnittplatz;;Zubehör;Magix;;;;
42;1;Logitech Maus RX300;Medienraum;Schnittplatz;;Zubehör;Logitech;;;;
43;2;Stereo Lautsprecher Digitus;Medienraum;Schnittplatz;;Zubehör,Ton;Digitus;;;;
44;1;VGA DVI Kabel;Medienraum;Schnittplatz;;Kabel;;;;;
